Bottle,Date,Scan,TimeS,PrDM,DepSM,T090C,T190C,C0mS/cm,C1mS/cm,Sbeox0V,Latitude,Longitude,Statistic
1,2022-07-04 08:19:16,84107,3504.417,3018.3579999999997,2968.722,1.4104,1.4102,31.430089000000002,31.430190999999997,1.7801,59.64808000000001,-38.58286,avg
2,2022-07-04 08:37:49,110828,4617.792,2794.5,2749.967,2.5901,2.5885,32.397698,32.39782,1.7957,59.6481,-38.58286,avg
3,2022-07-04 08:43:47,119413,4975.5,2538.259,2499.2929999999997,2.9218,2.9211,32.608025,32.607031,1.825,59.64808000000001,-38.58286,avg
4,2022-07-04 08:49:42,127931,5330.4169999999995,2284.0229999999997,2250.291,3.116,3.1155,32.683139000000004,32.682868,1.8722,59.64808000000001,-38.58286,avg
5,2022-07-04 08:55:42,136565,5690.1669999999995,2029.2979999999998,2000.52,3.2813,3.281,32.725749,32.725893,1.9252,59.64808000000001,-38.58286,avg
6,2022-07-04 09:01:38,145115,6046.4169999999995,1775.79,1751.649,3.4563,3.4549,32.774671999999995,32.774367,1.9891,59.64808000000001,-38.58286,avg
7,2022-07-04 09:08:57,155660,6485.7919999999995,1521.878,1502.088,3.4707,3.4699,32.663371999999995,32.662799,2.0829,59.6481,-38.58286,avg
8,2022-07-04 09:14:52,164175,6840.5830000000005,1268.874,1253.125,3.3955,3.3941,32.469229999999996,32.469159000000005,2.1753,59.64808000000001,-38.58286,avg
9,2022-07-04 09:20:51,172797,7199.8330000000005,1015.341,1003.3430000000001,3.4102,3.409,32.369215000000004,32.364974,2.2374,59.64808000000001,-38.58286,avg
10,2022-07-04 09:26:46,181296,7553.9580000000005,762.262,753.711,3.5492,3.5474,32.387699,32.383089,2.3189,59.64808000000001,-38.58287,avg
11,2022-07-04 09:32:30,189557,7898.1669999999995,509.98,504.564,3.6143,3.6135,32.333271999999994,32.332102,2.3994,59.64808000000001,-38.58286,avg
12,2022-07-04 09:38:16,197877,8244.833,257.72900000000004,255.14700000000002,3.7832,3.7814,32.371891999999995,32.365553999999996,2.4681,59.64808000000001,-38.58286,avg
13,2022-07-04 09:42:47,204364,8515.125,107.09899999999999,106.065,4.0841,4.0836,32.568415,32.560944,2.5393,59.64808000000001,-38.58286,avg
14,2022-07-04 09:46:07,209171,8715.417,56.24,55.70399999999999,5.4908,5.4184,33.7896,33.559763000000004,2.6664,59.64808000000001,-38.58286,avg
15,2022-07-04 09:49:42,214336,8930.625,3.355,3.324,7.4323,7.4285,35.479873,35.23545,2.8039,59.64808000000001,-38.58286,avg
