Bottle,Date,Scan,TimeS,PrDM,DepSM,T090C,T190C,C0mS/cm,C1mS/cm,Sbeox0V,Latitude,Longitude,Statistic
1,2022-07-02 15:18:27,100193,4174.667,2845.5429999999997,2799.85,1.4608,1.4608,31.408065,31.408515,1.8136,59.71708,-39.3359,avg
2,2022-07-02 15:21:54,105153,4381.333,2743.015,2699.6090000000004,2.1816,2.1828,32.004536,32.006166,1.8157,59.71708,-39.3359,avg
3,2022-07-02 15:27:58,113901,4745.833,2467.145,2429.66,2.8556,2.8565,32.517456,32.519016,1.8422,59.71706,-39.33594,avg
4,2022-07-02 15:34:40,123543,5147.583,2162.635,2131.288,3.1124,3.1134,32.628772999999995,32.630379,1.8962,59.71708,-39.3359,avg
5,2022-07-02 15:40:49,132406,5516.875,1857.031,1831.4260000000002,3.3705,3.3709,32.733160999999996,32.737551,1.9617,59.71706,-39.33593,avg
6,2022-07-02 15:47:25,141908,5912.7919999999995,1522.182,1502.379,3.479,3.4788,32.671714,32.67576,2.0736,59.71708,-39.3359,avg
7,2022-07-02 15:56:56,155606,6483.5419999999995,1015.11,1003.11,3.4011,3.401,32.357386,32.36168,2.2381,59.71708,-39.33592,avg
8,2022-07-02 16:02:52,164157,6839.8330000000005,761.8330000000001,753.283,3.5302,3.5298,32.365984000000005,32.369997999999995,2.3285,59.71708,-39.33594,avg
9,2022-07-02 16:08:39,172478,7186.5419999999995,510.005,504.586,3.5086,3.5083,32.222651,32.226637,2.422,59.71708,-39.33592,avg
10,2022-07-02 16:12:42,178306,7429.375,358.921,355.236,3.5885,3.5884,32.229054999999995,32.233284000000005,2.4744,59.71708,-39.33592,avg
11,2022-07-02 16:15:50,182828,7617.7919999999995,257.85400000000004,255.27,3.7223,3.7217,32.308219,32.311976,2.4771,59.71708,-39.33592,avg
12,2022-07-02 16:19:11,187643,7818.4169999999995,186.921,185.079,3.7073,3.707,32.24821,32.252226,2.5542,59.71706,-39.33594,avg
13,2022-07-02 16:21:44,191324,7971.7919999999995,136.789,135.457,3.8948,3.8924,32.403113,32.405776,2.5337,59.71708,-39.3359,avg
14,2022-07-02 16:24:09,194795,8116.4169999999995,96.27,95.34200000000001,3.8599,3.8504,32.336199,32.332073,2.5602,59.71708,-39.3359,avg
15,2022-07-02 16:26:19,197925,8246.833,66.097,65.465,4.3028,4.287,32.711116,32.704015999999996,2.5945,59.71708,-39.33592,avg
16,2022-07-02 16:27:28,199567,8315.25,62.1,61.506,4.6131,4.6219,33.015816,33.025728,2.5867,59.71708,-39.33592,avg
17,2022-07-02 16:29:01,201798,8408.208,45.808,45.372,6.0659,6.0541,34.317331,34.310904,2.7202,59.71708,-39.33592,avg
18,2022-07-02 16:30:16,203607,8483.583,35.648,35.31,6.5102,6.4499,34.685982,34.639033000000005,2.7959,59.71708,-39.3359,avg
19,2022-07-02 16:32:26,206715,8613.083,5.9079999999999995,5.852,7.3254,7.3302,35.391296999999994,35.400782,2.8209,59.71708,-39.33592,avg
