Bottle,Date,Scan,TimeS,PrDM,DepSM,T090C,T190C,C0mS/cm,C1mS/cm,Sbeox0V,Latitude,Longitude,Statistic
1,2022-06-27 12:09:10,92918,3871.542,3046.5570000000002,2997.177,2.6997,2.7,32.605788000000004,32.606679,1.7242,55.98072,-43.1851,avg
2,2022-06-27 12:09:19,93118,3879.875,3047.0609999999997,2997.67,2.6999,2.7004,32.606072999999995,32.606928,1.7247,55.9807,-43.18509,avg
3,2022-06-27 12:24:45,115360,4806.625,2793.395,2749.725,2.8912,2.8914,32.686519,32.687363,1.7702,55.9808,-43.18365,avg
4,2022-06-27 12:24:54,115566,4815.208,2793.026,2749.364,2.8917,2.8922,32.68655,32.687579,1.7699,55.9808,-43.183640000000004,avg
5,2022-06-27 12:40:12,137600,5733.2919999999995,2537.909,2499.7129999999997,3.0733,3.0734,32.748784,32.749587,1.8193,55.980819999999994,-43.18314,avg
6,2022-06-27 12:40:20,137791,5741.25,2538.4320000000002,2500.226,3.0729,3.0731,32.748633,32.749517,1.819,55.980819999999994,-43.18312,avg
7,2022-06-27 12:56:10,160579,6690.75,2283.987,2250.9429999999998,3.2165,3.2166,32.775616,32.776568,1.867,55.9808,-43.18258,avg
8,2022-06-27 12:56:18,160784,6699.2919999999995,2284.053,2251.008,3.216,3.2161,32.775467,32.776445,1.8676,55.9808,-43.18258,avg
