Bottle,Date,Scan,TimeS,PrDM,DepSM,T090C,T190C,C0mS/cm,C1mS/cm,Sbeox0V,Latitude,Longitude,Statistic
1,2022-06-29 19:27:23,68864,2869.292,2485.881,2447.978,1.8993,1.8998,31.650215999999997,31.650954,1.8793,59.84686,-40.69265,avg
2,2022-06-29 19:33:15,77313,3221.333,2231.647,2198.923,2.6926,2.6935,32.28085,32.282068,1.8768,59.84629,-40.69299,avg
3,2022-06-29 19:38:15,84528,3521.958,2030.0279999999998,2001.204,2.8932,2.8939,32.368364,32.369408,1.9345,59.84591999999999,-40.6935,avg
4,2022-06-29 19:43:54,92662,3860.875,1775.442,1751.28,3.2208,3.2184,32.553498,32.551797,1.996,59.845380000000006,-40.693979999999996,avg
5,2022-06-29 19:49:39,100928,4205.292,1520.747,1500.9520000000002,3.511,3.5109,32.713605,32.714385,2.0535,59.84466,-40.6944,avg
6,2022-06-29 19:55:36,109504,4562.625,1267.984,1252.229,3.4554,3.4554,32.530951,32.531935,2.1581,59.843959999999996,-40.69511,avg
7,2022-06-29 20:01:09,117506,4896.042,1015.082,1003.072,3.6218,3.6214,32.57891,32.579536,2.198,59.843419999999995,-40.6957,avg
8,2022-06-29 20:05:54,124338,5180.708,812.405,803.182,3.5895,3.5892,32.442879,32.443812,2.3318,59.843,-40.69608,avg
9,2022-06-29 20:12:23,133679,5569.9169999999995,510.645,505.213,3.8408,3.8409,32.534141,32.535384,2.4027,59.8424,-40.6965,avg
10,2022-06-29 20:19:05,143326,5971.875,207.317,205.262,4.4604,4.4596,32.977364,32.978272,2.4765,59.84176,-40.696940000000005,avg
11,2022-06-29 20:22:09,147746,6156.0419999999995,106.10700000000001,105.081,5.1304,5.1305,33.561732,33.563347,2.5558,59.84156,-40.69706,avg
12,2022-06-29 20:25:12,152132,6338.7919999999995,56.068000000000005,55.533,6.411,6.4052,34.694973,34.692818,2.7265,59.841280000000005,-40.69728,avg
13,2022-06-29 20:28:11,156418,6517.375,5.519,5.4670000000000005,7.0766,7.0761,35.25203,35.253446000000004,2.8263,59.840880000000006,-40.697359999999996,avg
