Bottle,Date,Scan,TimeS,PrDM,DepSM,T090C,T190C,C0mS/cm,C1mS/cm,Sbeox0V,Latitude,Longitude,Statistic
1,2022-07-12 10:31:46,80245,3343.5,2638.083,2596.924,1.7269,1.7268,31.556088,31.555863000000002,1.8588,59.930519999999994,-39.48294,avg
2,2022-07-12 10:31:54,80448,3351.958,2638.1240000000003,2596.964,1.7264,1.7265,31.555899,31.555670000000003,1.859,59.930519999999994,-39.48296,avg
3,2022-07-12 10:46:21,101255,4218.917,2433.9829999999997,2397.144,2.363,2.363,32.040711,32.040564,1.8905,59.930519999999994,-39.48296,avg
4,2022-07-12 10:46:29,101445,4226.833,2434.492,2397.643,2.363,2.3632,32.040725,32.040822,1.8908,59.930519999999994,-39.48296,avg
5,2022-07-12 11:00:51,122120,5088.292,2231.018,2198.292,2.8999,2.9004,32.471695000000004,32.472066999999996,1.8772,59.930519999999994,-39.48294,avg
6,2022-07-12 11:00:59,122322,5096.708,2230.719,2197.998,2.8995,2.9,32.471276,32.471707,1.8771,59.930519999999994,-39.48294,avg
7,2022-07-12 11:15:28,143168,5965.2919999999995,2027.638,1998.846,3.0797,3.0805,32.549263,32.550162,1.9188,59.930519999999994,-39.48299,avg
8,2022-07-12 11:15:37,143397,5974.8330000000005,2027.9520000000002,1999.1529999999998,3.0799,3.0797,32.549474,32.549411,1.9184,59.93054,-39.48298,avg
