Bottle,Date,Scan,TimeS,PrDM,DepSM,T090C,T190C,C0mS/cm,C1mS/cm,Sbeox0V,Latitude,Longitude,Statistic
1,2022-06-26 16:31:48,105097,4379.0,3456.3509999999997,3397.745,2.478,2.4781,32.548681,32.549155,1.6601,53.907419999999995,-45.395540000000004,avg
2,2022-06-26 16:31:56,105289,4387.0,3456.047,3397.448,2.4778,2.4781,32.548386,32.548947999999996,1.6602,53.90741,-45.395540000000004,avg
3,2022-06-26 16:49:52,131099,5462.4169999999995,3047.428,2998.5679999999998,2.7541,2.7541,32.653114,32.653703,1.7254,53.906859999999995,-45.39542,avg
4,2022-06-26 16:50:01,131316,5471.4580000000005,3047.792,2998.9240000000004,2.7543,2.7543,32.653183,32.653532,1.7254,53.90684,-45.39542,avg
5,2022-06-26 17:08:15,157570,6565.375,2635.0209999999997,2595.2470000000003,2.9864,2.9866,32.697066,32.698043,1.8087,53.905280000000005,-45.39512,avg
6,2022-06-26 17:08:23,157768,6573.625,2635.8959999999997,2596.103,2.9865,2.9871,32.69723,32.698537,1.8086,53.905280000000005,-45.39512,avg
7,2022-06-26 17:28:15,186370,7765.375,2125.377,2095.782,3.3814,3.3812,32.851537,32.852486,1.9042,53.9035,-45.39492,avg
8,2022-06-26 17:28:23,186572,7773.7919999999995,2125.673,2096.072,3.3815,3.3814,32.85177,32.8529,1.9044,53.90348,-45.394909999999996,avg
9,2022-06-26 17:51:06,219278,9136.542,1419.181,1401.747,3.3944,3.3937,32.527397,32.528326,2.1424,53.90251,-45.39492,avg
10,2022-06-26 17:51:14,219465,9144.333,1419.954,1402.5079999999998,3.3937,3.3934,32.527071,32.528304999999996,2.142,53.9025,-45.39492,avg
11,2022-06-26 18:24:55,267978,11165.708,81.398,80.656,6.5295,6.5575,34.653351,34.684315999999995,2.3496,53.9006,-45.394909999999996,avg
12,2022-06-26 18:25:03,268167,11173.583,81.65,80.906,6.512,6.5153,34.635022,34.638723999999996,2.3526,53.9006,-45.39492,avg
