Bottle,Date,Scan,TimeS,PrDM,DepSM,T090C,T190C,C0mS/cm,C1mS/cm,Sbeox0V,Latitude,Longitude,Statistic
1,2022-07-01 17:31:56,71855,2993.917,2642.2940000000003,2601.036,1.6195,1.6196,31.465432,31.466364000000002,1.8568,59.9724,-39.50674,avg
2,2022-07-01 17:34:54,76134,3172.208,2538.19,2499.161,2.0073,2.0074,31.764983,31.765836,1.8748,59.972480000000004,-39.5069,avg
3,2022-07-01 17:42:24,86938,3622.375,2132.151,2101.353,3.0215,3.0213,32.538008000000005,32.538903000000005,1.8977,59.97278000000001,-39.50732,avg
4,2022-07-01 17:48:34,95813,3992.167,1826.046,1800.963,3.2778,3.277,32.641830999999996,32.642206,1.9641,59.9728,-39.50734,avg
5,2022-07-01 17:54:20,104122,4338.375,1521.693,1501.868,3.4733,3.4726,32.681905,32.682527,2.0497,59.97294,-39.5075,avg
6,2022-07-01 18:00:30,112999,4708.25,1218.355,1203.346,3.4032,3.4038,32.459631,32.461527000000004,2.1801,59.97296,-39.50756,avg
7,2022-07-01 18:05:02,119519,4979.917,1015.467,1003.442,3.3745,3.3741,32.33743,32.338473,2.2413,59.9729,-39.50744,avg
8,2022-07-01 18:09:33,126042,5251.7080000000005,813.1239999999999,803.883,3.4754,3.4763,32.343342,32.345828000000004,2.2757,59.9729,-39.5074,avg
9,2022-07-01 18:13:54,132302,5512.5419999999995,611.482,604.825,3.5508,3.5505,32.320071999999996,32.321191,2.3938,59.97296,-39.507509999999996,avg
10,2022-07-01 18:18:12,138488,5770.2919999999995,409.077,404.82,3.578,3.5779,32.25008,32.251489,2.4517,59.97288,-39.50744,avg
11,2022-07-01 18:22:33,144750,6031.2080000000005,207.85299999999998,205.79,3.8488,3.8476,32.411353999999996,32.411571,2.4896,59.97282,-39.50728,avg
12,2022-07-01 18:24:18,147265,6136.0,157.049,155.509,3.9081,3.906,32.436133,32.43565,2.5229,59.9728,-39.50728,avg
13,2022-07-01 18:27:35,151993,6333.0,39.12,38.748000000000005,6.1293,5.9589,34.335403,34.181214000000004,2.7305,59.97274,-39.507259999999995,avg
14,2022-07-01 18:29:12,154341,6430.8330000000005,5.675,5.621,7.0729,7.0728,35.143807,35.145579,2.8379,59.97274,-39.50719,avg
