Bottle,Date,Scan,TimeS,PrDM,DepSM,T090C,T190C,C0mS/cm,C1mS/cm,Sbeox0V,Latitude,Longitude,Statistic
1,2022-07-06 18:08:16,81640,3401.625,2639.369,2598.194,1.8307,1.8298,31.650734000000003,31.650445,1.8438,59.875659999999996,-39.616040000000005,avg
2,2022-07-06 18:08:24,81831,3409.583,2638.908,2597.742,1.8311,1.8314,31.650861,31.651325,1.8437,59.875659999999996,-39.616040000000005,avg
3,2022-07-06 18:22:48,102577,4274.0,2435.801,2398.935,2.4527,2.4526,32.140065,32.140318,1.8527,59.875640000000004,-39.616040000000005,avg
4,2022-07-06 18:22:57,102777,4282.333,2435.282,2398.427,2.4536,2.4538,32.140713,32.141147,1.8521,59.875640000000004,-39.616040000000005,avg
5,2022-07-06 18:37:09,123232,5134.625,2231.442,2198.717,2.8453,2.8453,32.422062,32.422453000000004,1.8774,59.875640000000004,-39.616040000000005,avg
6,2022-07-06 18:37:18,123446,5143.542,2231.901,2199.167,2.8452,2.8449,32.422098999999996,32.422427,1.8773,59.875640000000004,-39.616040000000005,avg
7,2022-07-06 18:51:40,144145,6006.0,2028.7479999999998,1999.943,3.0288,3.029,32.504406,32.505212,1.9174,59.875640000000004,-39.616040000000005,avg
8,2022-07-06 18:51:48,144337,6014.0,2029.235,2000.421,3.029,3.029,32.504989,32.505553000000006,1.9175,59.87565,-39.61606,avg
