Bottle,Date,Scan,TimeS,PrDM,DepSM,T090C,T190C,C0mS/cm,C1mS/cm,Sbeox0V,Latitude,Longitude,Statistic
1,2022-06-30 17:04:51,44690,1862.0420000000001,1521.384,1501.567,3.4717,3.4716,32.680761,32.681895000000004,2.0418,59.93934,-39.52108,avg
2,2022-06-30 17:14:28,58526,2438.542,1013.585,1001.5889999999999,3.3653,3.3645,32.327222,32.328078000000005,2.2391,59.93934,-39.52113,avg
3,2022-06-30 17:20:00,66494,2770.542,761.168,752.613,3.5255,3.525,32.369265999999996,32.370447,2.2798,59.93934,-39.52112,avg
4,2022-06-30 17:25:19,74159,3089.917,508.93,503.515,3.5206,3.5223,32.241532,32.244948,2.4186,59.93936,-39.52108,avg
5,2022-06-30 17:28:58,79401,3308.333,358.10900000000004,354.42699999999996,3.5598,3.5597,32.205981,32.207407,2.4696,59.939319999999995,-39.521159999999995,avg
6,2022-06-30 17:31:37,83217,3467.333,256.778,254.199,3.824,3.821,32.415548,32.414226,2.4478,59.9393,-39.52126,avg
7,2022-06-30 17:33:50,86417,3600.667,186.205,184.36700000000002,3.8437,3.8425,32.391663,32.392309999999995,2.5091,59.939319999999995,-39.521159999999995,avg
8,2022-06-30 17:35:53,89380,3724.125,136.116,134.789,4.0057,3.9959,32.519867,32.512448,2.5227,59.939319999999995,-39.52114,avg
9,2022-06-30 17:37:32,91734,3822.208,105.98700000000001,104.961,4.0673,4.0673,32.557071,32.558668,2.5487,59.93934,-39.5211,avg
10,2022-06-30 17:39:05,93972,3915.458,85.539,84.71600000000001,4.2016,4.1979,32.670764,32.669121999999994,2.5606,59.93934,-39.52114,avg
11,2022-06-30 17:40:31,96048,4001.958,65.763,65.133,4.4756,4.4717,32.895469,32.894012,2.6156,59.939319999999995,-39.52124,avg
12,2022-06-30 17:41:52,97982,4082.542,45.114,44.684,4.9443,4.9522,33.293656,33.302861,2.6535,59.939319999999995,-39.52114,avg
13,2022-06-30 17:43:08,99810,4158.708,25.271,25.031,6.5972,6.5945,34.74412,34.743483000000005,2.8139,59.939319999999995,-39.52118,avg
14,2022-06-30 17:44:17,101476,4228.125,16.699,16.541,6.8317,6.8313,34.936847,34.938039,2.8368,59.939319999999995,-39.52114,avg
15,2022-06-30 17:45:22,103035,4293.083,4.72,4.676,6.8806,6.884,34.971383,34.975653,2.8356,59.939319999999995,-39.52114,avg
