Bottle,Date,Scan,TimeS,PrDM,DepSM,T090C,T190C,C0mS/cm,C1mS/cm,Sbeox0V,Latitude,Longitude,Statistic
1,2022-07-05 08:12:52,71665,2986.0,2113.0789999999997,2082.661,1.7761,1.7744,31.39459,31.393690000000003,1.9573,59.904140000000005,-41.09232,avg
2,2022-07-05 08:16:06,76331,3180.417,2022.0079999999998,1993.326,2.0436,2.0428,31.594363,31.594112,1.9712,59.904140000000005,-41.09232,avg
3,2022-07-05 08:19:25,81097,3379.0,1919.6589999999999,1892.8829999999998,2.4315,2.4311,31.90124,31.901658,1.9815,59.904140000000005,-41.09232,avg
4,2022-07-05 08:23:32,87036,3626.458,1766.9379999999999,1742.918,2.8301,2.8298,32.205162,32.20552,1.9954,59.904140000000005,-41.09232,avg
5,2022-07-05 08:29:13,95205,3966.833,1512.805,1493.134,3.186,3.1869,32.413622,32.415282,2.059,59.90411999999999,-41.09232,avg
6,2022-07-05 08:34:50,103313,4304.667,1259.281,1243.654,3.4123,3.412,32.501888,32.502751,2.1338,59.904140000000005,-41.09232,avg
7,2022-07-05 08:40:37,111638,4651.542,1006.237,994.3480000000001,3.5676,3.5672,32.526334000000006,32.5272,2.2081,59.904140000000005,-41.09232,avg
8,2022-07-05 08:46:39,120319,5013.25,756.416,747.925,3.8235,3.8229,32.646467,32.647338,2.2648,59.90411999999999,-41.09232,avg
9,2022-07-05 08:52:32,128787,5366.0830000000005,507.80400000000003,502.404,4.1416,4.1411,32.820555,32.821531,2.3568,59.90411999999999,-41.09232,avg
10,2022-07-05 08:57:36,136080,5669.9580000000005,307.312,304.19,4.6131,4.6125,33.165219,33.166268,2.4405,59.90411999999999,-41.09232,avg
11,2022-07-05 09:01:48,142143,5922.5830000000005,156.232,154.702,5.2112,5.2103,33.66451,33.665569,2.5191,59.90411999999999,-41.09232,avg
12,2022-07-05 09:05:49,147930,6163.7080000000005,55.49,54.96,5.9287,5.9279,34.263546999999996,34.264786,2.6416,59.90411999999999,-41.09234,avg
13,2022-07-05 09:09:41,153498,6395.7080000000005,2.813,2.786,8.171,8.17,36.236461,36.238302000000004,2.816,59.90411999999999,-41.09234,avg
