Bottle,Date,Scan,TimeS,PrDM,DepSM,T090C,T190C,C0mS/cm,C1mS/cm,Sbeox0V,Latitude,Longitude,Statistic
1,2022-07-05 14:55:09,67990,2832.875,2027.683,1998.889,2.2039,2.2031,31.738667,31.738694,1.9647,59.93578,-41.14925,avg
2,2022-07-05 14:55:17,68171,2840.417,2027.904,1999.106,2.1944,2.1946,31.730511,31.731467,1.9647,59.935759999999995,-41.14931,avg
3,2022-07-05 15:09:42,88947,3706.083,1926.1860000000001,1899.285,2.6283,2.6347,32.093699,32.100895,1.9529,59.935280000000006,-41.15296,avg
4,2022-07-05 15:09:51,89149,3714.5,1925.957,1899.06,2.6335,2.6432,32.099181,32.110473,1.9528,59.935280000000006,-41.15299,avg
5,2022-07-05 15:24:21,110043,4585.083,1825.0439999999999,1799.983,2.8763,2.877,32.269395,32.271171,1.9838,59.9348,-41.1573,avg
6,2022-07-05 15:24:29,110232,4592.958,1824.731,1799.6760000000002,2.8799,2.8788,32.272514,32.272515000000006,1.9841,59.9348,-41.157340000000005,avg
7,2022-07-05 15:41:51,135227,5634.4169999999995,1469.464,1450.5020000000002,3.3859,3.3858,32.581296,32.582401000000004,2.0587,59.93424,-41.1623,avg
8,2022-07-05 15:41:59,135423,5642.5830000000005,1469.664,1450.6989999999998,3.3858,3.3855,32.581053000000004,32.582038,2.0588,59.93424,-41.16232,avg
9,2022-07-05 15:58:37,159381,6640.8330000000005,1114.937,1101.476,3.4363,3.435,32.448364,32.448456,2.196,59.934259999999995,-41.16684,avg
10,2022-07-05 15:58:45,159579,6649.0830000000005,1114.471,1101.017,3.4353,3.4343,32.447276,32.44768,2.1963,59.93424,-41.166909999999994,avg
11,2022-07-05 16:26:20,199280,8303.292,205.56799999999998,203.52900000000002,4.5777,4.5775,33.084815,33.086096000000005,2.4374,59.93414,-41.17729,avg
12,2022-07-05 16:26:29,199514,8313.042,205.81900000000002,203.778,4.5766,4.5768,33.083892999999996,33.085723,2.4367,59.93411999999999,-41.17736,avg
