Bottle,Date,Scan,TimeS,PrDM,DepSM,T090C,T190C,C0mS/cm,C1mS/cm,Sbeox0V,Latitude,Longitude,Statistic
1,2022-07-08 19:42:12,82297,3429.0,2636.9590000000003,2595.851,1.6868,1.6855,31.522859999999998,31.521649,1.8522,59.8049,-39.8096,avg
2,2022-07-08 19:42:21,82493,3437.167,2636.4440000000004,2595.346,1.6895,1.6893,31.524795,31.524438,1.852,59.804919999999996,-39.80961,avg
3,2022-07-08 19:56:36,103031,4292.917,2431.922,2395.151,2.623,2.6228,32.294171,32.294135,1.8497,59.8071,-39.81067,avg
4,2022-07-08 19:56:44,103215,4300.583,2432.565,2395.78,2.6232,2.6238,32.294443,32.294781,1.8499,59.80712,-39.81068,avg
5,2022-07-08 20:10:48,123475,5144.75,2229.751,2197.071,2.9237,2.9239,32.490262,32.490713,1.881,59.809380000000004,-39.811659999999996,avg
6,2022-07-08 20:10:56,123664,5152.625,2229.9539999999997,2197.269,2.9257,2.9257,32.492283,32.492439000000005,1.8804,59.8094,-39.811679999999996,avg
7,2022-07-08 20:28:28,148913,6204.6669999999995,1825.636,1800.582,3.2678,3.2681,32.6341,32.634716999999995,1.9633,59.811780000000006,-39.8127,avg
8,2022-07-08 20:28:37,149128,6213.625,1825.102,1800.058,3.2675,3.2678,32.633899,32.634558,1.9633,59.8118,-39.8127,avg
9,2022-07-08 20:53:02,184297,7679.0,1014.806,1002.802,3.3984,3.3983,32.363456,32.364290999999994,2.2324,59.81503000000001,-39.81408,avg
10,2022-07-08 20:53:10,184485,7686.8330000000005,1014.755,1002.752,3.3983,3.3985,32.363355,32.364362,2.2327,59.81504,-39.81408,avg
11,2022-07-08 21:11:42,211159,8798.25,569.96,563.818,3.5789,3.5786,32.330151,32.331041,2.3786,59.81774,-39.815220000000004,avg
12,2022-07-08 21:11:49,211338,8805.708,570.563,564.414,3.5806,3.5796,32.332273,32.332258,2.3786,59.81774,-39.8152,avg
